# x, y, val
1.6000 0.5000 0.1181
1.7000 0.5000 0.1179
1.8000 0.5000 0.1174
1.9000 0.5000 0.1168
2.0000 0.5000 0.1163
2.1000 0.5000 0.1163
2.2000 0.5000 0.1166
2.3000 0.5000 0.1171
2.4000 0.5000 0.1176
2.5000 0.5000 0.1180
2.6000 0.5000 0.1181
2.7000 0.5000 0.1179
2.8000 0.5000 0.1174
2.9000 0.5000 0.1168
3.0000 0.5000 0.1163
3.1000 0.5000 0.1163
3.2000 0.5000 0.1166
3.3000 0.5000 0.1171
3.4000 0.5000 0.1176
3.5000 0.5000 0.1180
3.6000 0.5000 0.1181
3.7000 0.5000 0.1179
3.8000 0.5000 0.1174
3.9000 0.5000 0.1168
4.0000 0.5000 0.1163
4.1000 0.5000 0.1163
4.2000 0.5000 0.1166
4.3000 0.5000 0.1171
4.4000 0.5000 0.1176
4.5000 0.5000 0.1180
4.6000 0.5000 0.1181
4.7000 0.5000 0.1179
4.8000 0.5000 0.1174
4.9000 0.5000 0.1168
0.0000 0.6000 0.1156
0.1000 0.6000 0.1158
0.2000 0.6000 0.1165
0.3000 0.6000 0.1174
0.4000 0.6000 0.1182
0.5000 0.6000 0.1186
0.6000 0.6000 0.1186
0.7000 0.6000 0.1181
0.8000 0.6000 0.1172
0.9000 0.6000 0.1162
1.0000 0.6000 0.1156
1.1000 0.6000 0.1158
1.2000 0.6000 0.1165
1.3000 0.6000 0.1174
1.4000 0.6000 0.1182
1.5000 0.6000 0.1186
1.6000 0.6000 0.1186
1.7000 0.6000 0.1181
1.8000 0.6000 0.1172
1.9000 0.6000 0.1162
2.0000 0.6000 0.1156
2.1000 0.6000 0.1158
2.2000 0.6000 0.1165
2.3000 0.6000 0.1174
2.4000 0.6000 0.1182
2.5000 0.6000 0.1186
2.6000 0.6000 0.1186
2.7000 0.6000 0.1181
2.8000 0.6000 0.1172
2.9000 0.6000 0.1162
3.0000 0.6000 0.1156
3.1000 0.6000 0.1158
3.2000 0.6000 0.1165
3.3000 0.6000 0.1174
3.4000 0.6000 0.1182
3.5000 0.6000 0.1186
3.6000 0.6000 0.1186
3.7000 0.6000 0.1181
3.8000 0.6000 0.1172
3.9000 0.6000 0.1162
4.0000 0.6000 0.1156
4.1000 0.6000 0.1158
4.2000 0.6000 0.1165
4.3000 0.6000 0.1174
4.4000 0.6000 0.1182
4.5000 0.6000 0.1186
4.6000 0.6000 0.1186
4.7000 0.6000 0.1181
4.8000 0.6000 0.1172
4.9000 0.6000 0.1162
0.0000 0.7000 0.1117
0.1000 0.7000 0.1124
0.2000 0.7000 0.1142
0.3000 0.7000 0.1160
0.4000 0.7000 0.1173
0.5000 0.7000 0.1180
0.6000 0.7000 0.1179
0.7000 0.7000 0.1168
0.8000 0.7000 0.1149
0.9000 0.7000 0.1128
1.0000 0.7000 0.1117
1.1000 0.7000 0.1124
1.2000 0.7000 0.1142
1.3000 0.7000 0.1160
1.4000 0.7000 0.1173
1.5000 0.7000 0.1180
1.6000 0.7000 0.1179
1.7000 0.7000 0.1168
1.8000 0.7000 0.1149
1.9000 0.7000 0.1128
2.0000 0.7000 0.1117
2.1000 0.7000 0.1124
2.2000 0.7000 0.1142
2.3000 0.7000 0.1160
2.4000 0.7000 0.1173
2.5000 0.7000 0.1180
2.6000 0.7000 0.1179
2.7000 0.7000 0.1168
2.8000 0.7000 0.1149
2.9000 0.7000 0.1128
3.0000 0.7000 0.1117
3.1000 0.7000 0.1124
3.2000 0.7000 0.1142
3.3000 0.7000 0.1160
3.4000 0.7000 0.1173
3.5000 0.7000 0.1180
3.6000 0.7000 0.1179
3.7000 0.7000 0.1168
3.8000 0.7000 0.1149
3.9000 0.7000 0.1128
4.0000 0.7000 0.1117
4.1000 0.7000 0.1124
4.2000 0.7000 0.1142
4.3000 0.7000 0.1160
4.4000 0.7000 0.1173
4.5000 0.7000 0.1180
4.6000 0.7000 0.1179
4.7000 0.7000 0.1168
4.8000 0.7000 0.1149
4.9000 0.7000 0.1128
0.0000 0.8000 0.1031
0.1000 0.8000 0.1051
0.2000 0.8000 0.1095
0.3000 0.8000 0.1131
0.4000 0.8000 0.1153
0.5000 0.8000 0.1163
0.6000 0.8000 0.1160
0.7000 0.8000 0.1142
0.8000 0.8000 0.1105
0.9000 0.8000 0.1057
1.0000 0.8000 0.1031
1.1000 0.8000 0.1051
1.2000 0.8000 0.1095
1.3000 0.8000 0.1131
1.4000 0.8000 0.1153
1.5000 0.8000 0.1163
1.6000 0.8000 0.1160
1.7000 0.8000 0.1142
1.8000 0.8000 0.1105
1.9000 0.8000 0.1057
2.0000 0.8000 0.1031
2.1000 0.8000 0.1051
2.2000 0.8000 0.1095
2.3000 0.8000 0.1131
2.4000 0.8000 0.1153
2.5000 0.8000 0.1163
2.6000 0.8000 0.1160
2.7000 0.8000 0.1142
2.8000 0.8000 0.1105
2.9000 0.8000 0.1057
3.0000 0.8000 0.1031
3.1000 0.8000 0.1051
3.2000 0.8000 0.1095
3.3000 0.8000 0.1131
3.4000 0.8000 0.1153
3.5000 0.8000 0.1163
3.6000 0.8000 0.1160
3.7000 0.8000 0.1142
3.8000 0.8000 0.1105
3.9000 0.8000 0.1057
4.0000 0.8000 0.1031
4.1000 0.8000 0.1051
4.2000 0.8000 0.1095
4.3000 0.8000 0.1131
4.4000 0.8000 0.1153
4.5000 0.8000 0.1163
4.6000 0.8000 0.1160
4.7000 0.8000 0.1142
4.8000 0.8000 0.1105
4.9000 0.8000 0.1057
0.0000 0.9000 0.0888
0.1000 0.9000 0.0944
0.2000 0.9000 0.1035
0.3000 0.9000 0.1096
0.4000 0.9000 0.1128
0.5000 0.9000 0.1141
0.6000 0.9000 0.1138
0.7000 0.9000 0.1111
0.8000 0.9000 0.1049
0.9000 0.9000 0.0952
1.0000 0.9000 0.0888
1.1000 0.9000 0.0944
1.2000 0.9000 0.1035
1.3000 0.9000 0.1096
1.4000 0.9000 0.1128
1.5000 0.9000 0.1141
1.6000 0.9000 0.1138
1.7000 0.9000 0.1111
1.8000 0.9000 0.1049
1.9000 0.9000 0.0952
2.0000 0.9000 0.0888
2.1000 0.9000 0.0944
2.2000 0.9000 0.1035
2.3000 0.9000 0.1096
2.4000 0.9000 0.1128
2.5000 0.9000 0.1141
2.6000 0.9000 0.1138
2.7000 0.9000 0.1111
2.8000 0.9000 0.1049
2.9000 0.9000 0.0952
3.0000 0.9000 0.0888
3.1000 0.9000 0.0944
3.2000 0.9000 0.1035
3.3000 0.9000 0.1096
3.4000 0.9000 0.1128
3.5000 0.9000 0.1141
3.6000 0.9000 0.1138
3.7000 0.9000 0.1111
3.8000 0.9000 0.1049
3.9000 0.9000 0.0952
4.0000 0.9000 0.0888
4.1000 0.9000 0.0944
4.2000 0.9000 0.1035
4.3000 0.9000 0.1096
4.4000 0.9000 0.1128
4.5000 0.9000 0.1141
4.6000 0.9000 0.1138
4.7000 0.9000 0.1111
4.8000 0.9000 0.1049
4.9000 0.9000 0.0952
0.0000 1.0000 0.0769
0.1000 1.0000 0.0873
0.2000 1.0000 0.0999
0.3000 1.0000 0.1072
0.4000 1.0000 0.1108
0.5000 1.0000 0.1124
0.6000 1.0000 0.1121
0.7000 1.0000 0.1091
0.8000 1.0000 0.1016
0.9000 1.0000 0.0883
1.0000 1.0000 0.0769
1.1000 1.0000 0.0873
1.2000 1.0000 0.0999
1.3000 1.0000 0.1072
1.4000 1.0000 0.1108
1.5000 1.0000 0.1124
1.6000 1.0000 0.1121
1.7000 1.0000 0.1091
1.8000 1.0000 0.1016
1.9000 1.0000 0.0883
2.0000 1.0000 0.0769
2.1000 1.0000 0.0873
2.2000 1.0000 0.0999
2.3000 1.0000 0.1072
2.4000 1.0000 0.1108
2.5000 1.0000 0.1124
2.6000 1.0000 0.1121
2.7000 1.0000 0.1091
2.8000 1.0000 0.1016
2.9000 1.0000 0.0883
3.0000 1.0000 0.0769
3.1000 1.0000 0.0873
3.2000 1.0000 0.0999
3.3000 1.0000 0.1072
3.4000 1.0000 0.1108
3.5000 1.0000 0.1124
3.6000 1.0000 0.1121
3.7000 1.0000 0.1091
3.8000 1.0000 0.1016
3.9000 1.0000 0.0883
4.0000 1.0000 0.0769
4.1000 1.0000 0.0873
4.2000 1.0000 0.0999
4.3000 1.0000 0.1072
4.4000 1.0000 0.1108
4.5000 1.0000 0.1124
4.6000 1.0000 0.1121
4.7000 1.0000 0.1091
4.8000 1.0000 0.1016
4.9000 1.0000 0.0883
0.0000 1.1000 0.0876
0.1000 1.1000 0.0930
0.2000 1.1000 0.1016
0.3000 1.1000 0.1072
0.4000 1.1000 0.1103
0.5000 1.1000 0.1117
0.6000 1.1000 0.1117
0.7000 1.1000 0.1094
0.8000 1.1000 0.1035
0.9000 1.1000 0.0940
1.0000 1.1000 0.0876
1.1000 1.1000 0.0930
1.2000 1.1000 0.1016
1.3000 1.1000 0.1072
1.4000 1.1000 0.1103
1.5000 1.1000 0.1117
1.6000 1.1000 0.1117
1.7000 1.1000 0.1094
1.8000 1.1000 0.1035
1.9000 1.1000 0.0940
2.0000 1.1000 0.0876
2.1000 1.1000 0.0930
2.2000 1.1000 0.1016
2.3000 1.1000 0.1072
2.4000 1.1000 0.1103
2.5000 1.1000 0.1117
2.6000 1.1000 0.1117
2.7000 1.1000 0.1094
2.8000 1.1000 0.1035
2.9000 1.1000 0.0940
3.0000 1.1000 0.0876
3.1000 1.1000 0.0930
3.2000 1.1000 0.1016
3.3000 1.1000 0.1072
3.4000 1.1000 0.1103
3.5000 1.1000 0.1117
3.6000 1.1000 0.1117
3.7000 1.1000 0.1094
3.8000 1.1000 0.1035
3.9000 1.1000 0.0940
4.0000 1.1000 0.0876
4.1000 1.1000 0.0930
4.2000 1.1000 0.1016
4.3000 1.1000 0.1072
4.4000 1.1000 0.1103
4.5000 1.1000 0.1117
4.6000 1.1000 0.1117
4.7000 1.1000 0.1094
4.8000 1.1000 0.1035
4.9000 1.1000 0.0940
0.0000 1.2000 0.1012
0.1000 1.2000 0.1028
0.2000 1.2000 0.1064
0.3000 1.2000 0.1094
0.4000 1.2000 0.1114
0.5000 1.2000 0.1125
0.6000 1.2000 0.1127
0.7000 1.2000 0.1115
0.8000 1.2000 0.1083
0.9000 1.2000 0.1038
1.0000 1.2000 0.1012
1.1000 1.2000 0.1028
1.2000 1.2000 0.1064
1.3000 1.2000 0.1094
1.4000 1.2000 0.1114
1.5000 1.2000 0.1125
1.6000 1.2000 0.1127
1.7000 1.2000 0.1115
1.8000 1.2000 0.1083
1.9000 1.2000 0.1038
2.0000 1.2000 0.1012
2.1000 1.2000 0.1028
2.2000 1.2000 0.1064
2.3000 1.2000 0.1094
2.4000 1.2000 0.1114
2.5000 1.2000 0.1125
2.6000 1.2000 0.1127
2.7000 1.2000 0.1115
2.8000 1.2000 0.1083
2.9000 1.2000 0.1038
3.0000 1.2000 0.1012
3.1000 1.2000 0.1028
3.2000 1.2000 0.1064
3.3000 1.2000 0.1094
3.4000 1.2000 0.1114
3.5000 1.2000 0.1125
3.6000 1.2000 0.1127
3.7000 1.2000 0.1115
3.8000 1.2000 0.1083
3.9000 1.2000 0.1038
4.0000 1.2000 0.1012
4.1000 1.2000 0.1028
4.2000 1.2000 0.1064
4.3000 1.2000 0.1094
4.4000 1.2000 0.1114
4.5000 1.2000 0.1125
4.6000 1.2000 0.1127
4.7000 1.2000 0.1115
4.8000 1.2000 0.1083
4.9000 1.2000 0.1038
0.0000 1.3000 0.1098
0.1000 1.3000 0.1101
0.2000 1.3000 0.1112
0.3000 1.3000 0.1125
0.4000 1.3000 0.1135
0.5000 1.3000 0.1143
0.6000 1.3000 0.1146
0.7000 1.3000 0.1142
0.8000 1.3000 0.1128
0.9000 1.3000 0.1109
1.0000 1.3000 0.1098
1.1000 1.3000 0.1101
1.2000 1.3000 0.1112
1.3000 1.3000 0.1125
1.4000 1.3000 0.1135
1.5000 1.3000 0.1143
1.6000 1.3000 0.1146
1.7000 1.3000 0.1142
1.8000 1.3000 0.1128
1.9000 1.3000 0.1109
2.0000 1.3000 0.1098
2.1000 1.3000 0.1101
2.2000 1.3000 0.1112
2.3000 1.3000 0.1125
2.4000 1.3000 0.1135
2.5000 1.3000 0.1143
2.6000 1.3000 0.1146
2.7000 1.3000 0.1142
2.8000 1.3000 0.1128
2.9000 1.3000 0.1109
3.0000 1.3000 0.1098
3.1000 1.3000 0.1101
3.2000 1.3000 0.1112
3.3000 1.3000 0.1125
3.4000 1.3000 0.1135
3.5000 1.3000 0.1143
3.6000 1.3000 0.1146
3.7000 1.3000 0.1142
3.8000 1.3000 0.1128
3.9000 1.3000 0.1109
4.0000 1.3000 0.1098
4.1000 1.3000 0.1101
4.2000 1.3000 0.1112
4.3000 1.3000 0.1125
4.4000 1.3000 0.1135
4.5000 1.3000 0.1143
4.6000 1.3000 0.1146
4.7000 1.3000 0.1142
4.8000 1.3000 0.1128
4.9000 1.3000 0.1109
0.0000 1.4000 0.1144
0.1000 1.4000 0.1144
0.2000 1.4000 0.1148
0.3000 1.4000 0.1153
0.4000 1.4000 0.1159
0.5000 1.4000 0.1164
0.6000 1.4000 0.1167
0.7000 1.4000 0.1165
0.8000 1.4000 0.1159
0.9000 1.4000 0.1150
1.0000 1.4000 0.1144
1.1000 1.4000 0.1144
1.2000 1.4000 0.1148
1.3000 1.4000 0.1153
1.4000 1.4000 0.1159
1.5000 1.4000 0.1164
1.6000 1.4000 0.1167
1.7000 1.4000 0.1165
1.8000 1.4000 0.1159
1.9000 1.4000 0.1150
2.0000 1.4000 0.1144
2.1000 1.4000 0.1144
2.2000 1.4000 0.1148
2.3000 1.4000 0.1153
2.4000 1.4000 0.1159
2.5000 1.4000 0.1164
2.6000 1.4000 0.1167
2.7000 1.4000 0.1165
2.8000 1.4000 0.1159
2.9000 1.4000 0.1150
3.0000 1.4000 0.1144
3.1000 1.4000 0.1144
3.2000 1.4000 0.1148
3.3000 1.4000 0.1153
3.4000 1.4000 0.1159
3.5000 1.4000 0.1164
3.6000 1.4000 0.1167
3.7000 1.4000 0.1165
3.8000 1.4000 0.1159
3.9000 1.4000 0.1150
4.0000 1.4000 0.1144
4.1000 1.4000 0.1144
4.2000 1.4000 0.1148
4.3000 1.4000 0.1153
4.4000 1.4000 0.1159
4.5000 1.4000 0.1164
4.6000 1.4000 0.1167
4.7000 1.4000 0.1165
4.8000 1.4000 0.1159
4.9000 1.4000 0.1150
0.0000 1.5000 0.1163
0.1000 1.5000 0.1163
0.2000 1.5000 0.1166
0.3000 1.5000 0.1171
0.4000 1.5000 0.1176
0.5000 1.5000 0.1180
0.6000 1.5000 0.1181
0.7000 1.5000 0.1179
0.8000 1.5000 0.1174
0.9000 1.5000 0.1168
1.0000 1.5000 0.1163
1.1000 1.5000 0.1163
1.2000 1.5000 0.1166
1.3000 1.5000 0.1171
1.4000 1.5000 0.1176
1.5000 1.5000 0.1180
1.6000 1.5000 0.1181
1.7000 1.5000 0.1179
1.8000 1.5000 0.1174
1.9000 1.5000 0.1168
2.0000 1.5000 0.1163
2.1000 1.5000 0.1163
2.2000 1.5000 0.1166
2.3000 1.5000 0.1171
2.4000 1.5000 0.1176
2.5000 1.5000 0.1180
2.6000 1.5000 0.1181
2.7000 1.5000 0.1179
2.8000 1.5000 0.1174
2.9000 1.5000 0.1168
3.0000 1.5000 0.1163
3.1000 1.5000 0.1163
3.2000 1.5000 0.1166
3.3000 1.5000 0.1171
3.4000 1.5000 0.1176
3.5000 1.5000 0.1180
3.6000 1.5000 0.1181
3.7000 1.5000 0.1179
3.8000 1.5000 0.1174
3.9000 1.5000 0.1168
4.0000 1.5000 0.1163
4.1000 1.5000 0.1163
4.2000 1.5000 0.1166
4.3000 1.5000 0.1171
4.4000 1.5000 0.1176
4.5000 1.5000 0.1180
4.6000 1.5000 0.1181
4.7000 1.5000 0.1179
4.8000 1.5000 0.1174
4.9000 1.5000 0.1168
0.0000 1.6000 0.1156
0.1000 1.6000 0.1158
0.2000 1.6000 0.1165
0.3000 1.6000 0.1174
0.4000 1.6000 0.1182
0.5000 1.6000 0.1186
0.6000 1.6000 0.1186
0.7000 1.6000 0.1181
0.8000 1.6000 0.1172
0.9000 1.6000 0.1162
1.0000 1.6000 0.1156
1.1000 1.6000 0.1158
1.2000 1.6000 0.1165
1.3000 1.6000 0.1174
1.4000 1.6000 0.1182
1.5000 1.6000 0.1186
1.6000 1.6000 0.1186
1.7000 1.6000 0.1181
1.8000 1.6000 0.1172
1.9000 1.6000 0.1162
2.0000 1.6000 0.1156
2.1000 1.6000 0.1158
2.2000 1.6000 0.1165
2.3000 1.6000 0.1174
2.4000 1.6000 0.1182
2.5000 1.6000 0.1186
2.6000 1.6000 0.1186
2.7000 1.6000 0.1181
2.8000 1.6000 0.1172
2.9000 1.6000 0.1162
3.0000 1.6000 0.1156
3.1000 1.6000 0.1158
3.2000 1.6000 0.1165
3.3000 1.6000 0.1174
3.4000 1.6000 0.1182
3.5000 1.6000 0.1186
3.6000 1.6000 0.1186
3.7000 1.6000 0.1181
3.8000 1.6000 0.1172
3.9000 1.6000 0.1162
4.0000 1.6000 0.1156
4.1000 1.6000 0.1158
4.2000 1.6000 0.1165
4.3000 1.6000 0.1174
4.4000 1.6000 0.1182
4.5000 1.6000 0.1186
4.6000 1.6000 0.1186
4.7000 1.6000 0.1181
4.8000 1.6000 0.1172
4.9000 1.6000 0.1162
0.0000 1.7000 0.1117
0.1000 1.7000 0.1124
0.2000 1.7000 0.1142
0.3000 1.7000 0.1160
0.4000 1.7000 0.1173
0.5000 1.7000 0.1180
0.6000 1.7000 0.1179
0.7000 1.7000 0.1168
0.8000 1.7000 0.1149
0.9000 1.7000 0.1128
1.0000 1.7000 0.1117
1.1000 1.7000 0.1124
1.2000 1.7000 0.1142
1.3000 1.7000 0.1160
1.4000 1.7000 0.1173
1.5000 1.7000 0.1180
1.6000 1.7000 0.1179
1.7000 1.7000 0.1168
1.8000 1.7000 0.1149
1.9000 1.7000 0.1128
2.0000 1.7000 0.1117
2.1000 1.7000 0.1124
2.2000 1.7000 0.1142
2.3000 1.7000 0.1160
2.4000 1.7000 0.1173
2.5000 1.7000 0.1180
2.6000 1.7000 0.1179
2.7000 1.7000 0.1168
2.8000 1.7000 0.1149
2.9000 1.7000 0.1128
3.0000 1.7000 0.1117
3.1000 1.7000 0.1124
3.2000 1.7000 0.1142
3.3000 1.7000 0.1160
3.4000 1.7000 0.1173
3.5000 1.7000 0.1180
3.6000 1.7000 0.1179
3.7000 1.7000 0.1168
3.8000 1.7000 0.1149
3.9000 1.7000 0.1128
4.0000 1.7000 0.1117
4.1000 1.7000 0.1124
4.2000 1.7000 0.1142
4.3000 1.7000 0.1160
4.4000 1.7000 0.1173
4.5000 1.7000 0.1180
4.6000 1.7000 0.1179
4.7000 1.7000 0.1168
4.8000 1.7000 0.1149
4.9000 1.7000 0.1128
0.0000 1.8000 0.1031
0.1000 1.8000 0.1051
0.2000 1.8000 0.1095
0.3000 1.8000 0.1131
0.4000 1.8000 0.1153
0.5000 1.8000 0.1163
0.6000 1.8000 0.1160
0.7000 1.8000 0.1142
0.8000 1.8000 0.1105
0.9000 1.8000 0.1057
1.0000 1.8000 0.1031
1.1000 1.8000 0.1051
1.2000 1.8000 0.1095
1.3000 1.8000 0.1131
1.4000 1.8000 0.1153
1.5000 1.8000 0.1163
1.6000 1.8000 0.1160
1.7000 1.8000 0.1142
1.8000 1.8000 0.1105
1.9000 1.8000 0.1057
2.0000 1.8000 0.1031
2.1000 1.8000 0.1051
2.2000 1.8000 0.1095
2.3000 1.8000 0.1131
2.4000 1.8000 0.1153
2.5000 1.8000 0.1163
2.6000 1.8000 0.1160
2.7000 1.8000 0.1142
2.8000 1.8000 0.1105
2.9000 1.8000 0.1057
3.0000 1.8000 0.1031
3.1000 1.8000 0.1051
